   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_132.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.414456, 0, 3.78159e-15, 0, 1.41421, -3.78159e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.15953e-20, 0, 4.76807e-19, 0, 3.78106e-15, 0, 0
0.422348, 0, 9.78458e-15, 9.80909e-45, 1.41421, -9.78458e-15, 9.80909e-45, 0, 9.80909e-45, 9.80909e-45, 9.80909e-45, 9.80909e-45, 9.80909e-45, 9.80909e-45, 9.80909e-45, 9.80909e-45, 9.80909e-45, 9.80909e-45, 9.80909e-45, 9.80909e-45, 1.34406e-19, 9.80909e-45, 1.26272e-18, 9.80909e-45, 9.78319e-15, 9.80909e-45, 9.80909e-45
0.43024, 0, 2.4808e-14, 1.97583e-43, 1.41421, -2.4808e-14, 1.97583e-43, 0, 1.97583e-43, 1.97583e-43, 1.97583e-43, 1.97583e-43, 1.97583e-43, 1.97583e-43, 1.97583e-43, 1.97583e-43, 1.97583e-43, 1.97583e-43, 1.97583e-43, 1.97583e-43, 3.43322e-19, 1.97583e-43, 3.27648e-18, 1.97583e-43, 2.48043e-14, 1.97583e-43, 1.97583e-43
0.438133, 0, 6.16492e-14, 3.02821e-42, 1.41421, -6.16492e-14, 3.02821e-42, 0, 3.02821e-42, 3.02821e-42, 3.02821e-42, 3.02821e-42, 3.02821e-42, 3.02821e-42, 3.02821e-42, 3.02821e-42, 3.02821e-42, 3.02821e-42, 3.02821e-42, 3.02821e-42, 8.6026e-19, 3.02821e-42, 8.33266e-18, 3.02821e-42, 6.164e-14, 3.02821e-42, 3.02821e-42
0.446025, 0, 1.50192e-13, 4.18007e-41, 1.41421, -1.50192e-13, 4.18007e-41, 0, 4.18007e-41, 4.18007e-41, 4.18007e-41, 4.18007e-41, 4.18007e-41, 4.18007e-41, 4.18007e-41, 4.18007e-41, 4.18007e-41, 4.18007e-41, 4.18007e-41, 4.18007e-41, 2.11538e-18, 4.18007e-41, 2.07758e-17, 4.18007e-41, 1.50169e-13, 4.18007e-41, 4.18007e-41
0.453918, 0, 3.58777e-13, 5.17808e-40, 1.41421, -3.58777e-13, 5.17808e-40, 0, 5.17808e-40, 5.17808e-40, 5.17808e-40, 5.17808e-40, 5.17808e-40, 5.17808e-40, 5.17808e-40, 5.17808e-40, 5.17808e-40, 5.17808e-40, 5.17808e-40, 5.17808e-40, 5.10719e-18, 5.17808e-40, 5.07976e-17, 5.17808e-40, 3.58721e-13, 5.17808e-40, 5.17808e-40
0.46181, 0, 8.40499e-13, 5.79027e-39, 1.41421, -8.40499e-13, 5.79027e-39, 0, 5.79027e-39, 5.79027e-39, 5.79027e-39, 5.79027e-39, 5.79027e-39, 5.79027e-39, 5.79027e-39, 5.79027e-39, 5.79027e-39, 5.79027e-39, 5.79027e-39, 5.79027e-39, 1.21133e-17, 5.79027e-39, 1.21827e-16, 5.79027e-39, 8.40365e-13, 5.79027e-39, 5.79027e-39
0.469702, 0, 1.93128e-12, 5.8739e-38, 1.41421, -1.93128e-12, 5.8739e-38, 0, 5.8739e-38, 5.8739e-38, 5.8739e-38, 5.8739e-38, 5.8739e-38, 5.8739e-38, 5.8739e-38, 5.8739e-38, 5.8739e-38, 5.8739e-38, 5.8739e-38, 5.8739e-38, 2.82443e-17, 5.8739e-38, 2.86659e-16, 5.8739e-38, 1.93096e-12, 5.8739e-38, 5.8739e-38
0.477595, 0, 4.35314e-12, 5.4353e-37, 1.41421, -4.35314e-12, 5.4353e-37, 0, 5.4353e-37, 5.4353e-37, 5.4353e-37, 5.4353e-37, 5.4353e-37, 5.4353e-37, 5.4353e-37, 5.4353e-37, 5.4353e-37, 5.4353e-37, 5.4353e-37, 5.4353e-37, 6.47999e-17, 5.4353e-37, 6.61943e-16, 5.4353e-37, 4.35242e-12, 5.4353e-37, 5.4353e-37
0.485487, 0, 9.62635e-12, 4.61186e-36, 1.41421, -9.62635e-12, 4.61186e-36, 0, 4.61186e-36, 4.61186e-36, 4.61186e-36, 4.61186e-36, 4.61186e-36, 4.61186e-36, 4.61186e-36, 4.61186e-36, 4.61186e-36, 4.61186e-36, 4.61186e-36, 4.61186e-36, 1.46444e-16, 4.61186e-36, 1.50046e-15, 4.61186e-36, 9.6247e-12, 4.61186e-36, 4.61186e-36
