   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_92.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.38462, 0, 1.75272e-14, 0, 1.41421, -1.75272e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13441e-16, 0, 0, 8.59667e-20, 0, 1.74136e-14, 0, 0, 0
0.392513, 0, 3.98672e-14, 0, 1.41421, -3.98672e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.58009e-16, 0, 0, 1.97919e-19, 0, 3.9609e-14, 0, 0, 0
0.400407, 0, 8.92529e-14, 1.4013e-44, 1.41421, -8.92529e-14, 1.4013e-44, 0, 1.4013e-44, 1.4013e-44, 1.4013e-44, 1.4013e-44, 1.4013e-44, 1.4013e-44, 1.4013e-44, 1.4013e-44, 1.4013e-44, 1.4013e-44, 5.77562e-16, 1.4013e-44, 1.4013e-44, 4.48929e-19, 1.4013e-44, 8.86748e-14, 1.4013e-44, 1.4013e-44, 1.4013e-44
0.4083, 0, 1.96693e-13, 2.73253e-43, 1.41421, -1.96693e-13, 2.73253e-43, 0, 2.73253e-43, 2.73253e-43, 2.73253e-43, 2.73253e-43, 2.73253e-43, 2.73253e-43, 2.73253e-43, 2.73253e-43, 2.73253e-43, 2.73253e-43, 1.27268e-15, 2.73253e-43, 2.73253e-43, 1.00357e-18, 2.73253e-43, 1.95419e-13, 2.73253e-43, 2.73253e-43, 2.73253e-43
0.416194, 0, 4.2675e-13, 4.19269e-42, 1.41421, -4.2675e-13, 4.19269e-42, 0, 4.19269e-42, 4.19269e-42, 4.19269e-42, 4.19269e-42, 4.19269e-42, 4.19269e-42, 4.19269e-42, 4.19269e-42, 4.19269e-42, 4.19269e-42, 2.76092e-15, 4.19269e-42, 4.19269e-42, 2.21192e-18, 4.19269e-42, 4.23986e-13, 4.19269e-42, 4.19269e-42, 4.19269e-42
0.424087, 0, 9.11634e-13, 5.62663e-41, 1.41421, -9.11634e-13, 5.62663e-41, 0, 5.62663e-41, 5.62663e-41, 5.62663e-41, 5.62663e-41, 5.62663e-41, 5.62663e-41, 5.62663e-41, 5.62663e-41, 5.62663e-41, 5.62663e-41, 5.89727e-15, 5.62663e-41, 5.62663e-41, 4.80886e-18, 5.62663e-41, 9.05732e-13, 5.62663e-41, 5.62663e-41, 5.62663e-41
0.431981, 0, 1.91767e-12, 6.74928e-40, 1.41421, -1.91767e-12, 6.74928e-40, 0, 6.74928e-40, 6.74928e-40, 6.74928e-40, 6.74928e-40, 6.74928e-40, 6.74928e-40, 6.74928e-40, 6.74928e-40, 6.74928e-40, 6.74928e-40, 1.24038e-14, 6.74928e-40, 6.74928e-40, 1.03183e-17, 6.74928e-40, 1.90525e-12, 6.74928e-40, 6.74928e-40, 6.74928e-40
0.439875, 0, 3.97256e-12, 7.30118e-39, 1.41421, -3.97256e-12, 7.30118e-39, 0, 7.30118e-39, 7.30118e-39, 7.30118e-39, 7.30118e-39, 7.30118e-39, 7.30118e-39, 7.30118e-39, 7.30118e-39, 7.30118e-39, 7.30118e-39, 2.56927e-14, 7.30118e-39, 7.30118e-39, 2.18653e-17, 7.30118e-39, 3.94685e-12, 7.30118e-39, 7.30118e-39, 7.30118e-39
0.447768, 0, 8.10489e-12, 7.16623e-38, 1.41421, -8.10489e-12, 7.16623e-38, 0, 7.16623e-38, 7.16623e-38, 7.16623e-38, 7.16623e-38, 7.16623e-38, 7.16623e-38, 7.16623e-38, 7.16623e-38, 7.16623e-38, 7.16623e-38, 5.24151e-14, 7.16623e-38, 7.16623e-38, 4.57974e-17, 7.16623e-38, 8.05243e-12, 7.16623e-38, 7.16623e-38, 7.16623e-38
0.455662, 0, 1.62868e-11, 6.41739e-37, 1.41421, -1.62868e-11, 6.41739e-37, 0, 6.41739e-37, 6.41739e-37, 6.41739e-37, 6.41739e-37, 6.41739e-37, 6.41739e-37, 6.41739e-37, 6.41739e-37, 6.41739e-37, 6.41739e-37, 1.05326e-13, 6.41739e-37, 6.41739e-37, 9.49057e-17, 6.41739e-37, 1.61814e-11, 6.41739e-37, 6.41739e-37, 6.41739e-37
