   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_97.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.289673, 0, 1.35693e-11, 0, 1.41421, -1.35693e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06963e-13, 0, 0, 2.18818e-16, 7.67053e-14, 0, 1.33854e-11, 0, 0
0.297571, 0, 2.20747e-11, 0, 1.41421, -2.20747e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.73993e-13, 0, 0, 3.6723e-16, 1.2962e-13, 0, 2.17707e-11, 0, 0
0.305468, 0, 3.56379e-11, 1.54143e-44, 1.41421, -3.56379e-11, 1.54143e-44, 0, 1.54143e-44, 1.54143e-44, 1.54143e-44, 1.54143e-44, 1.54143e-44, 1.54143e-44, 1.54143e-44, 1.54143e-44, 1.54143e-44, 1.54143e-44, 2.80881e-13, 1.54143e-44, 1.54143e-44, 6.12867e-16, 2.17807e-13, 1.54143e-44, 3.51386e-11, 1.54143e-44, 1.54143e-44
0.313365, 0, 5.70992e-11, 2.8026e-43, 1.41421, -5.70992e-11, 2.8026e-43, 0, 2.8026e-43, 2.8026e-43, 2.8026e-43, 2.8026e-43, 2.8026e-43, 2.8026e-43, 2.8026e-43, 2.8026e-43, 2.8026e-43, 2.8026e-43, 4.50012e-13, 2.8026e-43, 2.8026e-43, 1.01746e-15, 3.64027e-13, 2.8026e-43, 5.62841e-11, 2.8026e-43, 2.8026e-43
0.321263, 0, 9.07959e-11, 4.23192e-42, 1.41421, -9.07959e-11, 4.23192e-42, 0, 4.23192e-42, 4.23192e-42, 4.23192e-42, 4.23192e-42, 4.23192e-42, 4.23192e-42, 4.23192e-42, 4.23192e-42, 4.23192e-42, 4.23192e-42, 7.1558e-13, 4.23192e-42, 4.23192e-42, 1.68095e-15, 6.05309e-13, 4.23192e-42, 8.94733e-11, 4.23192e-42, 4.23192e-42
0.32916, 0, 1.43297e-10, 5.64835e-41, 1.41421, -1.43297e-10, 5.64835e-41, 0, 5.64835e-41, 5.64835e-41, 5.64835e-41, 5.64835e-41, 5.64835e-41, 5.64835e-41, 5.64835e-41, 5.64835e-41, 5.64835e-41, 5.64835e-41, 1.12939e-12, 5.64835e-41, 5.64835e-41, 2.76477e-15, 1.00168e-12, 5.64835e-41, 1.41163e-10, 5.64835e-41, 5.64835e-41
0.337057, 0, 2.24474e-10, 6.74183e-40, 1.41421, -2.24474e-10, 6.74183e-40, 0, 6.74183e-40, 6.74183e-40, 6.74183e-40, 6.74183e-40, 6.74183e-40, 6.74183e-40, 6.74183e-40, 6.74183e-40, 6.74183e-40, 6.74183e-40, 1.76933e-12, 6.74183e-40, 6.74183e-40, 4.52923e-15, 1.65018e-12, 6.74183e-40, 2.2105e-10, 6.74183e-40, 6.74183e-40
0.344954, 0, 3.49035e-10, 7.25113e-39, 1.41421, -3.49035e-10, 7.25113e-39, 0, 7.25113e-39, 7.25113e-39, 7.25113e-39, 7.25113e-39, 7.25113e-39, 7.25113e-39, 7.25113e-39, 7.25113e-39, 7.25113e-39, 7.25113e-39, 2.75153e-12, 7.25113e-39, 7.25113e-39, 7.39355e-15, 2.70726e-12, 7.25113e-39, 3.43569e-10, 7.25113e-39, 7.25113e-39
0.352852, 0, 5.38726e-10, 7.06391e-38, 1.41421, -5.38726e-10, 7.06391e-38, 0, 7.06391e-38, 7.06391e-38, 7.06391e-38, 7.06391e-38, 7.06391e-38, 7.06391e-38, 7.06391e-38, 7.06391e-38, 7.06391e-38, 7.06391e-38, 4.24784e-12, 7.06391e-38, 7.06391e-38, 1.20327e-14, 4.42472e-12, 7.06391e-38, 5.30041e-10, 7.06391e-38, 7.06391e-38
0.360749, 0, 8.25435e-10, 6.26657e-37, 1.41421, -8.25435e-10, 6.26657e-37, 0, 6.26657e-37, 6.26657e-37, 6.26657e-37, 6.26657e-37, 6.26657e-37, 6.26657e-37, 6.26657e-37, 6.26657e-37, 6.26657e-37, 6.26657e-37, 6.51053e-12, 6.26657e-37, 6.26657e-37, 1.95327e-14, 7.20713e-12, 6.26657e-37, 8.11698e-10, 6.26657e-37, 6.26657e-37
0.368646, 0, 1.25557e-09, 5.08953e-36, 1.41421, -1.25557e-09, 5.08953e-36, 0, 5.08953e-36, 5.08953e-36, 5.08953e-36, 5.08953e-36, 5.08953e-36, 5.08953e-36, 5.08953e-36, 5.08953e-36, 5.08953e-36, 5.08953e-36, 9.90719e-12, 5.08953e-36, 5.08953e-36, 3.16424e-14, 1.17038e-11, 5.08953e-36, 1.23392e-09, 5.08953e-36, 5.08953e-36
0.376544, 0, 1.89609e-09, 3.80267e-35, 1.41421, -1.89609e-09, 3.80267e-35, 0, 3.80267e-35, 3.80267e-35, 3.80267e-35, 3.80267e-35, 3.80267e-35, 3.80267e-35, 3.80267e-35, 3.80267e-35, 3.80267e-35, 3.80267e-35, 1.49693e-11, 3.80267e-35, 3.80267e-35, 5.11777e-14, 1.89558e-11, 3.80267e-35, 1.86212e-09, 3.80267e-35, 3.80267e-35
0.384441, 0, 2.84297e-09, 2.63428e-34, 1.41421, -2.84297e-09, 2.63428e-34, 0, 2.63428e-34, 2.63428e-34, 2.63428e-34, 2.63428e-34, 2.63428e-34, 2.63428e-34, 2.63428e-34, 2.63428e-34, 2.63428e-34, 2.63428e-34, 2.24597e-11, 2.63428e-34, 2.63428e-34, 8.26754e-14, 3.06315e-11, 2.63428e-34, 2.7898e-09, 2.63428e-34, 2.63428e-34
0.392338, 0, 4.23258e-09, 1.8202e-33, 1.41421, -4.23258e-09, 1.8202e-33, 0, 1.8202e-33, 1.8202e-33, 1.8202e-33, 1.8202e-33, 1.8202e-33, 1.8202e-33, 1.8202e-33, 1.8202e-33, 1.8202e-33, 1.8202e-33, 3.34655e-11, 1.8202e-33, 1.8202e-33, 1.33446e-13, 4.9402e-11, 1.8202e-33, 4.14958e-09, 1.8202e-33, 1.8202e-33
0.400235, 0, 6.25733e-09, 1.19239e-32, 1.41421, -6.25733e-09, 1.19239e-32, 0, 1.19239e-32, 1.19239e-32, 1.19239e-32, 1.19239e-32, 1.19239e-32, 1.19239e-32, 1.19239e-32, 1.19239e-32, 1.19239e-32, 1.19239e-32, 4.95245e-11, 1.19239e-32, 1.19239e-32, 2.15267e-13, 7.95417e-11, 1.19239e-32, 6.12805e-09, 1.19239e-32, 1.19239e-32
