   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_35.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.360106, 0, 1.69945e-12, 1.26117e-44, 1.41421, -1.69945e-12, 1.26117e-44, 0, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 4.47202e-15, 1.26117e-44, 1.26117e-44, 2.50618e-17, 3.21569e-16, 1.26117e-44, 1.69463e-12, 1.26117e-44, 1.26117e-44
0.368014, 0, 3.15315e-12, 2.38221e-43, 1.41421, -3.15315e-12, 2.38221e-43, 0, 2.38221e-43, 2.38221e-43, 2.38221e-43, 2.38221e-43, 2.38221e-43, 2.38221e-43, 2.38221e-43, 2.38221e-43, 2.38221e-43, 2.38221e-43, 2.38221e-43, 8.29765e-15, 2.38221e-43, 2.38221e-43, 4.7672e-17, 6.10752e-16, 2.38221e-43, 3.1442e-12, 2.38221e-43, 2.38221e-43
0.375921, 0, 5.78696e-12, 3.63217e-42, 1.41421, -5.78696e-12, 3.63217e-42, 0, 3.63217e-42, 3.63217e-42, 3.63217e-42, 3.63217e-42, 3.63217e-42, 3.63217e-42, 3.63217e-42, 3.63217e-42, 3.63217e-42, 3.63217e-42, 3.63217e-42, 1.52295e-14, 3.63217e-42, 3.63217e-42, 8.99086e-17, 1.14883e-15, 3.63217e-42, 5.7705e-12, 3.63217e-42, 3.63217e-42
0.383829, 0, 1.05062e-11, 4.86433e-41, 1.41421, -1.05062e-11, 4.86433e-41, 0, 4.86433e-41, 4.86433e-41, 4.86433e-41, 4.86433e-41, 4.86433e-41, 4.86433e-41, 4.86433e-41, 4.86433e-41, 4.86433e-41, 4.86433e-41, 4.86433e-41, 2.76517e-14, 4.86433e-41, 4.86433e-41, 1.68207e-16, 2.14075e-15, 4.86433e-41, 1.04762e-11, 4.86433e-41, 4.86433e-41
0.391737, 0, 1.8869e-11, 5.82031e-40, 1.41421, -1.8869e-11, 5.82031e-40, 0, 5.82031e-40, 5.82031e-40, 5.82031e-40, 5.82031e-40, 5.82031e-40, 5.82031e-40, 5.82031e-40, 5.82031e-40, 5.82031e-40, 5.82031e-40, 5.82031e-40, 4.96693e-14, 5.82031e-40, 5.82031e-40, 3.12348e-16, 3.95306e-15, 5.82031e-40, 1.88151e-11, 5.82031e-40, 5.82031e-40
0.399644, 0, 3.35261e-11, 6.27551e-39, 1.41421, -3.35261e-11, 6.27551e-39, 0, 6.27551e-39, 6.27551e-39, 6.27551e-39, 6.27551e-39, 6.27551e-39, 6.27551e-39, 6.27551e-39, 6.27551e-39, 6.27551e-39, 6.27551e-39, 6.27551e-39, 8.82694e-14, 6.27551e-39, 6.27551e-39, 5.76056e-16, 7.23638e-15, 6.27551e-39, 3.343e-11, 6.27551e-39, 6.27551e-39
0.407552, 0, 5.8934e-11, 6.12988e-38, 1.41421, -5.8934e-11, 6.12988e-38, 0, 6.12988e-38, 6.12988e-38, 6.12988e-38, 6.12988e-38, 6.12988e-38, 6.12988e-38, 6.12988e-38, 6.12988e-38, 6.12988e-38, 6.12988e-38, 6.12988e-38, 1.55209e-13, 6.12988e-38, 6.12988e-38, 1.05594e-15, 1.3138e-14, 6.12988e-38, 5.87646e-11, 6.12988e-38, 6.12988e-38
0.41546, 0, 1.02498e-10, 5.4553e-37, 1.41421, -1.02498e-10, 5.4553e-37, 0, 5.4553e-37, 5.4553e-37, 5.4553e-37, 5.4553e-37, 5.4553e-37, 5.4553e-37, 5.4553e-37, 5.4553e-37, 5.4553e-37, 5.4553e-37, 5.4553e-37, 2.70048e-13, 5.4553e-37, 5.4553e-37, 1.92532e-15, 2.36694e-14, 5.4553e-37, 1.02203e-10, 5.4553e-37, 5.4553e-37
0.423367, 0, 1.76383e-10, 4.44608e-36, 1.41421, -1.76383e-10, 4.44608e-36, 0, 4.44608e-36, 4.44608e-36, 4.44608e-36, 4.44608e-36, 4.44608e-36, 4.44608e-36, 4.44608e-36, 4.44608e-36, 4.44608e-36, 4.44608e-36, 4.44608e-36, 4.64954e-13, 4.44608e-36, 4.44608e-36, 3.49481e-15, 4.23424e-14, 4.44608e-36, 1.75872e-10, 4.44608e-36, 4.44608e-36
0.431275, 0, 3.00334e-10, 3.33538e-35, 1.41421, -3.00334e-10, 3.33538e-35, 0, 3.33538e-35, 3.33538e-35, 3.33538e-35, 3.33538e-35, 3.33538e-35, 3.33538e-35, 3.33538e-35, 3.33538e-35, 3.33538e-35, 3.33538e-35, 3.33538e-35, 7.92246e-13, 3.33538e-35, 3.33538e-35, 6.32083e-15, 7.52692e-14, 3.33538e-35, 2.9946e-10, 3.33538e-35, 3.33538e-35
0.439182, 0, 5.06035e-10, 2.3164e-34, 1.41421, -5.06035e-10, 2.3164e-34, 0, 2.3164e-34, 2.3164e-34, 2.3164e-34, 2.3164e-34, 2.3164e-34, 2.3164e-34, 2.3164e-34, 2.3164e-34, 2.3164e-34, 2.3164e-34, 2.3164e-34, 1.33607e-12, 2.3164e-34, 2.3164e-34, 1.14005e-14, 1.33073e-13, 2.3164e-34, 5.04555e-10, 2.3164e-34, 2.3164e-34
0.44709, 0, 8.43742e-10, 1.59618e-33, 1.41421, -8.43742e-10, 1.59618e-33, 0, 1.59618e-33, 1.59618e-33, 1.59618e-33, 1.59618e-33, 1.59618e-33, 1.59618e-33, 1.59618e-33, 1.59618e-33, 1.59618e-33, 1.59618e-33, 1.59618e-33, 2.23031e-12, 1.59618e-33, 1.59618e-33, 2.05214e-14, 2.34215e-13, 1.59618e-33, 8.41257e-10, 1.59618e-33, 1.59618e-33
0.454998, 0, 1.39224e-09, 1.04618e-32, 1.41421, -1.39224e-09, 1.04618e-32, 0, 1.04618e-32, 1.04618e-32, 1.04618e-32, 1.04618e-32, 1.04618e-32, 1.04618e-32, 1.04618e-32, 1.04618e-32, 1.04618e-32, 1.04618e-32, 1.04618e-32, 3.68563e-12, 1.04618e-32, 1.04618e-32, 3.68904e-14, 4.10825e-13, 1.04618e-32, 1.3881e-09, 1.04618e-32, 1.04618e-32
0.462905, 0, 2.27361e-09, 6.43402e-32, 1.41421, -2.27361e-09, 6.43402e-32, 0, 6.43402e-32, 6.43402e-32, 6.43402e-32, 6.43402e-32, 6.43402e-32, 6.43402e-32, 6.43402e-32, 6.43402e-32, 6.43402e-32, 6.43402e-32, 6.43402e-32, 6.03009e-12, 6.43402e-32, 6.43402e-32, 6.62597e-14, 7.18969e-13, 6.43402e-32, 2.26679e-09, 6.43402e-32, 6.43402e-32
0.470813, 0, 3.67491e-09, 3.70539e-31, 1.41421, -3.67491e-09, 3.70539e-31, 0, 3.70539e-31, 3.70539e-31, 3.70539e-31, 3.70539e-31, 3.70539e-31, 3.70539e-31, 3.70539e-31, 3.70539e-31, 3.70539e-31, 3.70539e-31, 3.70539e-31, 9.76931e-12, 3.70539e-31, 3.70539e-31, 1.18941e-13, 1.25683e-12, 3.70539e-31, 3.66376e-09, 3.70539e-31, 3.70539e-31
0.478721, 0, 5.87942e-09, 2.00133e-30, 1.41421, -5.87942e-09, 2.00133e-30, 0, 2.00133e-30, 2.00133e-30, 2.00133e-30, 2.00133e-30, 2.00133e-30, 2.00133e-30, 2.00133e-30, 2.00133e-30, 2.00133e-30, 2.00133e-30, 2.00133e-30, 1.56746e-11, 2.00133e-30, 2.00133e-30, 2.13385e-13, 2.19696e-12, 2.00133e-30, 5.86134e-09, 2.00133e-30, 2.00133e-30
0.486628, 0, 9.31134e-09, 1.01657e-29, 1.41421, -9.31134e-09, 1.01657e-29, 0, 1.01657e-29, 1.01657e-29, 1.01657e-29, 1.01657e-29, 1.01657e-29, 1.01657e-29, 1.01657e-29, 1.01657e-29, 1.01657e-29, 1.01657e-29, 1.01657e-29, 2.49114e-11, 1.01657e-29, 1.01657e-29, 3.82508e-13, 3.84381e-12, 1.01657e-29, 9.28221e-09, 1.01657e-29, 1.01657e-29
0.494536, 0, 1.45987e-08, 4.8714e-29, 1.41421, -1.45987e-08, 4.8714e-29, 0, 4.8714e-29, 4.8714e-29, 4.8714e-29, 4.8714e-29, 4.8714e-29, 4.8714e-29, 4.8714e-29, 4.8714e-29, 4.8714e-29, 4.8714e-29, 4.8714e-29, 3.92236e-11, 4.8714e-29, 4.8714e-29, 6.84779e-13, 6.73593e-12, 4.8714e-29, 1.45521e-08, 4.8714e-29, 4.8714e-29
