   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_1.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.336135, 0, 2.33051e-10, 5.17879e-40, 1.41421, -2.33051e-10, 0, 5.17879e-40, 5.17879e-40, 5.17879e-40, 5.17879e-40, 5.17879e-40, 5.17879e-40, 5.17879e-40, 5.17879e-40, 5.17879e-40, 5.17879e-40, 5.17879e-40, 2.53166e-12, 5.17879e-40, 1.69102e-14, 1.63893e-13, 5.17879e-40, 2.30339e-10, 5.17879e-40, 5.17879e-40
0.344032, 0, 3.61062e-10, 5.64056e-39, 1.41421, -3.61062e-10, 0, 5.64056e-39, 5.64056e-39, 5.64056e-39, 5.64056e-39, 5.64056e-39, 5.64056e-39, 5.64056e-39, 5.64056e-39, 5.64056e-39, 5.64056e-39, 5.64056e-39, 3.92454e-12, 5.64056e-39, 2.75297e-14, 2.68132e-13, 5.64056e-39, 3.56842e-10, 5.64056e-39, 5.64056e-39
0.351929, 0, 5.55256e-10, 5.5612e-38, 1.41421, -5.55256e-10, 0, 5.5612e-38, 5.5612e-38, 5.5612e-38, 5.5612e-38, 5.5612e-38, 5.5612e-38, 5.5612e-38, 5.5612e-38, 5.5612e-38, 5.5612e-38, 5.5612e-38, 6.03966e-12, 5.5612e-38, 4.46852e-14, 4.3698e-13, 5.5612e-38, 5.48735e-10, 5.5612e-38, 5.5612e-38
0.359826, 0, 8.47627e-10, 4.99009e-37, 1.41421, -8.47627e-10, 0, 4.99009e-37, 4.99009e-37, 4.99009e-37, 4.99009e-37, 4.99009e-37, 4.99009e-37, 4.99009e-37, 4.99009e-37, 4.99009e-37, 4.99009e-37, 4.99009e-37, 9.22797e-12, 4.99009e-37, 7.23523e-14, 7.09666e-13, 4.99009e-37, 8.37617e-10, 4.99009e-37, 4.99009e-37
0.367723, 0, 1.2845e-09, 4.09682e-36, 1.41421, -1.2845e-09, 0, 4.09682e-36, 4.09682e-36, 4.09682e-36, 4.09682e-36, 4.09682e-36, 4.09682e-36, 4.09682e-36, 4.09682e-36, 4.09682e-36, 4.09682e-36, 4.09682e-36, 1.39991e-11, 4.09682e-36, 1.16917e-13, 1.14892e-12, 4.09682e-36, 1.26924e-09, 4.09682e-36, 4.09682e-36
0.375619, 0, 1.93244e-09, 3.09237e-35, 1.41421, -1.93244e-09, 0, 3.09237e-35, 3.09237e-35, 3.09237e-35, 3.09237e-35, 3.09237e-35, 3.09237e-35, 3.09237e-35, 3.09237e-35, 3.09237e-35, 3.09237e-35, 3.09237e-35, 2.10879e-11, 3.09237e-35, 1.88644e-13, 1.85491e-12, 3.09237e-35, 1.90931e-09, 3.09237e-35, 3.09237e-35
0.383516, 0, 2.88628e-09, 2.15584e-34, 1.41421, -2.88628e-09, 0, 2.15584e-34, 2.15584e-34, 2.15584e-34, 2.15584e-34, 2.15584e-34, 2.15584e-34, 2.15584e-34, 2.15584e-34, 2.15584e-34, 2.15584e-34, 2.15584e-34, 3.15455e-11, 2.15584e-34, 3.04032e-13, 2.98753e-12, 2.15584e-34, 2.85144e-09, 2.15584e-34, 2.15584e-34
0.391413, 0, 4.2801e-09, 1.49522e-33, 1.41421, -4.2801e-09, 0, 1.49522e-33, 1.49522e-33, 1.49522e-33, 1.49522e-33, 1.49522e-33, 1.49522e-33, 1.49522e-33, 1.49522e-33, 1.49522e-33, 1.49522e-33, 1.49522e-33, 4.68657e-11, 1.49522e-33, 4.8962e-13, 4.80168e-12, 1.49522e-33, 4.22794e-09, 1.49522e-33, 1.49522e-33
0.39931, 0, 6.30197e-09, 9.8713e-33, 1.41421, -6.30197e-09, 0, 9.8713e-33, 9.8713e-33, 9.8713e-33, 9.8713e-33, 9.8713e-33, 9.8713e-33, 9.8713e-33, 9.8713e-33, 9.8713e-33, 9.8713e-33, 9.8713e-33, 6.91559e-11, 9.8713e-33, 7.88077e-13, 7.70351e-12, 9.8713e-33, 6.22432e-09, 9.8713e-33, 9.8713e-33
0.407207, 0, 9.2136e-09, 6.10152e-32, 1.41421, -9.2136e-09, 0, 6.10152e-32, 6.10152e-32, 6.10152e-32, 6.10152e-32, 6.10152e-32, 6.10152e-32, 6.10152e-32, 6.10152e-32, 6.10152e-32, 6.10152e-32, 6.10152e-32, 1.01369e-10, 6.10152e-32, 1.26798e-12, 1.23394e-11, 6.10152e-32, 9.09863e-09, 6.10152e-32, 6.10152e-32
0.415104, 0, 1.33764e-08, 3.52361e-31, 1.41421, -1.33764e-08, 0, 3.52361e-31, 3.52361e-31, 3.52361e-31, 3.52361e-31, 3.52361e-31, 3.52361e-31, 3.52361e-31, 3.52361e-31, 3.52361e-31, 3.52361e-31, 3.52361e-31, 1.47615e-10, 3.52361e-31, 2.03944e-12, 1.97364e-11, 3.52361e-31, 1.3207e-08, 3.52361e-31, 3.52361e-31
0.423001, 0, 1.92857e-08, 1.90471e-30, 1.41421, -1.92857e-08, 0, 1.90471e-30, 1.90471e-30, 1.90471e-30, 1.90471e-30, 1.90471e-30, 1.90471e-30, 1.90471e-30, 1.90471e-30, 1.90471e-30, 1.90471e-30, 1.90471e-30, 2.13578e-10, 1.90471e-30, 3.27886e-12, 3.15239e-11, 1.90471e-30, 1.90373e-08, 1.90471e-30, 1.90471e-30
0.430897, 0, 2.7615e-08, 9.66557e-30, 1.41421, -2.7615e-08, 0, 9.66557e-30, 9.66557e-30, 9.66557e-30, 9.66557e-30, 9.66557e-30, 9.66557e-30, 9.66557e-30, 9.66557e-30, 9.66557e-30, 9.66557e-30, 9.66557e-30, 3.07071e-10, 9.66557e-30, 5.26832e-12, 5.02799e-11, 9.66557e-30, 2.72524e-08, 9.66557e-30, 9.66557e-30
0.438794, 0, 3.92733e-08, 4.61934e-29, 1.41421, -3.92733e-08, 0, 4.61934e-29, 4.61934e-29, 4.61934e-29, 4.61934e-29, 4.61934e-29, 4.61934e-29, 4.61934e-29, 4.61934e-29, 4.61934e-29, 4.61934e-29, 4.61934e-29, 4.38765e-10, 4.61934e-29, 8.4573e-12, 8.00707e-11, 4.61934e-29, 3.8746e-08, 4.61934e-29, 4.61934e-29
0.446691, 0, 5.54785e-08, 2.08579e-28, 1.41421, -5.54785e-08, 0, 2.08579e-28, 2.08579e-28, 2.08579e-28, 2.08579e-28, 2.08579e-28, 2.08579e-28, 2.08579e-28, 2.08579e-28, 2.08579e-28, 2.08579e-28, 2.08579e-28, 6.23155e-10, 2.08579e-28, 1.35594e-11, 1.27285e-10, 2.08579e-28, 5.47145e-08, 2.08579e-28, 2.08579e-28
0.454588, 0, 7.78504e-08, 8.92452e-28, 1.41421, -7.78504e-08, 0, 8.92452e-28, 8.92452e-28, 8.92452e-28, 8.92452e-28, 8.92452e-28, 8.92452e-28, 8.92452e-28, 8.92452e-28, 8.92452e-28, 8.92452e-28, 8.92452e-28, 8.79808e-10, 8.92452e-28, 2.17023e-11, 2.01916e-10, 8.92452e-28, 7.6747e-08, 8.92452e-28, 8.92452e-28
0.462485, 0, 1.08527e-07, 3.62884e-27, 1.41421, -1.08527e-07, 0, 3.62884e-27, 3.62884e-27, 3.62884e-27, 3.62884e-27, 3.62884e-27, 3.62884e-27, 3.62884e-27, 3.62884e-27, 3.62884e-27, 3.62884e-27, 3.62884e-27, 1.235e-09, 3.62884e-27, 3.46595e-11, 3.19509e-10, 3.62884e-27, 1.06938e-07, 3.62884e-27, 3.62884e-27
0.470382, 0, 1.50313e-07, 1.40595e-26, 1.41421, -1.50313e-07, 0, 1.40595e-26, 1.40595e-26, 1.40595e-26, 1.40595e-26, 1.40595e-26, 1.40595e-26, 1.40595e-26, 1.2021e-13, 1.40595e-26, 1.40595e-26, 1.40595e-26, 1.72382e-09, 1.40595e-26, 5.52035e-11, 5.04099e-10, 1.40595e-26, 1.4803e-07, 1.40595e-26, 1.40595e-26
0.478279, 0, 2.06857e-07, 5.20357e-26, 1.41421, -2.06857e-07, 0, 5.20357e-26, 5.20357e-26, 5.20357e-26, 5.20357e-26, 5.20357e-26, 5.20357e-26, 5.20357e-26, 4.04293e-13, 5.20357e-26, 5.20357e-26, 5.20357e-26, 2.39287e-09, 5.20357e-26, 8.76429e-11, 7.92595e-10, 5.20357e-26, 2.03583e-07, 5.20357e-26, 5.20357e-26
0.486175, 0, 2.82875e-07, 1.85016e-25, 1.41421, -2.82875e-07, 0, 1.85016e-25, 1.85016e-25, 1.85016e-25, 1.85016e-25, 1.85016e-25, 1.85016e-25, 1.85016e-25, 1.0554e-12, 1.85016e-25, 1.85016e-25, 1.85016e-25, 3.3037e-09, 1.85016e-25, 1.38628e-10, 1.24125e-09, 1.85016e-25, 2.78191e-07, 1.85016e-25, 1.85016e-25
0.494072, 0, 3.87696e-07, 7.92432e-10, 1.41421, -3.87696e-07, 7.92432e-10, 7.92469e-10, 7.92579e-10, 7.92582e-10, 7.93656e-10, 7.92711e-10, 7.93567e-10, 7.93785e-10, 8.00575e-10, 8.07274e-10, 8.00036e-10, 3.15634e-09, 5.32975e-09, 7.92536e-10, 1.01079e-09, 2.72755e-09, 7.92435e-10, 3.78579e-07, 7.92432e-10, 8.19348e-10
0.501969, 0, 5.30166e-07, 2.6472e-09, 1.41421, -5.30166e-07, 2.6472e-09, 2.64732e-09, 2.64769e-09, 2.6477e-09, 2.65129e-09, 2.64813e-09, 2.651e-09, 2.65173e-09, 2.67173e-09, 2.69686e-09, 2.67264e-09, 1.05564e-08, 8.84663e-09, 2.64755e-09, 2.98957e-09, 5.64887e-09, 2.64721e-09, 5.12509e-07, 2.6472e-09, 2.73725e-09
0.509866, 0, 7.2549e-07, 6.87134e-09, 1.41421, -7.2549e-07, 6.87134e-09, 6.87167e-09, 6.87262e-09, 6.87264e-09, 6.88199e-09, 6.87377e-09, 6.88121e-09, 6.88311e-09, 6.93275e-09, 7.00038e-09, 6.93745e-09, 2.74238e-08, 1.52988e-08, 6.87225e-09, 7.40546e-09, 1.15015e-08, 6.87137e-09, 6.90817e-07, 6.87134e-09, 7.10536e-09
0.517763, 0, 9.97662e-07, 1.62536e-08, 1.41421, -9.97662e-07, 1.62536e-08, 1.62544e-08, 1.62566e-08, 1.62567e-08, 1.62788e-08, 1.62593e-08, 1.6277e-08, 1.62814e-08, 1.6396e-08, 1.65591e-08, 1.64101e-08, 6.49155e-08, 2.76528e-08, 1.62557e-08, 1.70823e-08, 2.33524e-08, 1.62537e-08, 9.28424e-07, 1.62536e-08, 1.68077e-08
0.52566, 0, 1.38623e-06, 3.66134e-08, 1.41421, -1.38623e-06, 3.66134e-08, 3.66151e-08, 3.66202e-08, 3.66203e-08, 3.66702e-08, 3.66263e-08, 3.6666e-08, 3.66762e-08, 3.69296e-08, 3.7302e-08, 3.69662e-08, 1.46299e-07, 5.19563e-08, 3.66182e-08, 3.78919e-08, 4.74276e-08, 3.66135e-08, 1.2463e-06, 3.66134e-08, 3.78623e-08
0.533557, 0, 1.95959e-06, 7.9786e-08, 1.41421, -1.95959e-06, 7.9786e-08, 7.97897e-08, 7.98008e-08, 7.98011e-08, 7.99098e-08, 7.98142e-08, 7.99008e-08, 7.99229e-08, 8.04671e-08, 8.12873e-08, 8.05551e-08, 3.1891e-07, 1.00337e-07, 7.97965e-08, 8.17464e-08, 9.61631e-08, 7.97863e-08, 1.67546e-06, 7.9786e-08, 8.25087e-08
0.541453, 0, 2.83932e-06, 1.69268e-07, 1.41421, -2.83932e-06, 1.69268e-07, 1.69276e-07, 1.693e-07, 1.693e-07, 1.69531e-07, 1.69328e-07, 1.69512e-07, 1.69559e-07, 1.70816e-07, 1.72454e-07, 1.70901e-07, 6.76748e-07, 1.96662e-07, 1.69291e-07, 1.72256e-07, 1.93885e-07, 1.69269e-07, 2.26375e-06, 1.69268e-07, 1.75047e-07
