   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_113.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.298779, 0, 6.41501e-11, 4.34403e-44, 1.41421, -6.41501e-11, 4.34403e-44, 0, 4.34403e-44, 4.34403e-44, 4.34403e-44, 4.34403e-44, 4.34403e-44, 4.34403e-44, 4.34403e-44, 4.34403e-44, 4.34403e-44, 4.34403e-44, 5.24739e-13, 4.34403e-44, 4.34403e-44, 1.08188e-15, 3.18559e-12, 4.34403e-44, 6.04386e-11, 4.34403e-44, 4.34403e-44
0.306671, 0, 9.98969e-11, 7.67912e-43, 1.41421, -9.98969e-11, 7.67912e-43, 0, 7.67912e-43, 7.67912e-43, 7.67912e-43, 7.67912e-43, 7.67912e-43, 7.67912e-43, 7.67912e-43, 7.67912e-43, 7.67912e-43, 7.67912e-43, 8.15472e-13, 7.67912e-43, 7.67912e-43, 1.74722e-15, 5.18608e-12, 7.67912e-43, 9.38936e-11, 7.67912e-43, 7.67912e-43
0.314562, 0, 1.54547e-10, 1.13169e-41, 1.41421, -1.54547e-10, 1.13169e-41, 0, 1.13169e-41, 1.13169e-41, 1.13169e-41, 1.13169e-41, 1.13169e-41, 1.13169e-41, 1.13169e-41, 1.13169e-41, 1.13169e-41, 1.13169e-41, 1.25879e-12, 1.13169e-41, 1.13169e-41, 2.81095e-15, 8.40758e-12, 1.13169e-41, 1.44878e-10, 1.13169e-41, 1.13169e-41
0.322454, 0, 2.37548e-10, 1.47536e-40, 1.41421, -2.37548e-10, 1.47536e-40, 0, 1.47536e-40, 1.47536e-40, 1.47536e-40, 1.47536e-40, 1.47536e-40, 1.47536e-40, 1.47536e-40, 1.47536e-40, 1.47536e-40, 1.47536e-40, 1.93016e-12, 1.47536e-40, 1.47536e-40, 4.50679e-15, 1.3577e-11, 1.47536e-40, 2.22037e-10, 1.47536e-40, 1.47536e-40
0.330345, 0, 3.62794e-10, 1.72185e-39, 1.41421, -3.62794e-10, 1.72185e-39, 0, 1.72185e-39, 1.72185e-39, 1.72185e-39, 1.72185e-39, 1.72185e-39, 1.72185e-39, 1.72185e-39, 1.72185e-39, 1.72185e-39, 1.72185e-39, 2.94004e-12, 1.72185e-39, 1.72185e-39, 7.20399e-15, 2.18456e-11, 1.72185e-39, 3.38001e-10, 1.72185e-39, 1.72185e-39
0.338237, 0, 5.50581e-10, 1.81176e-38, 1.41421, -5.50581e-10, 1.81176e-38, 0, 1.81176e-38, 1.81176e-38, 1.81176e-38, 1.81176e-38, 1.81176e-38, 1.81176e-38, 1.81176e-38, 1.81176e-38, 1.81176e-38, 1.81176e-38, 4.4489e-12, 1.81176e-38, 1.81176e-38, 1.14858e-14, 3.50334e-11, 1.81176e-38, 5.11088e-10, 1.81176e-38, 1.81176e-38
0.346128, 0, 8.30381e-10, 1.72787e-37, 1.41421, -8.30381e-10, 1.72787e-37, 0, 1.72787e-37, 1.72787e-37, 1.72787e-37, 1.72787e-37, 1.72787e-37, 1.72787e-37, 1.72787e-37, 1.72787e-37, 1.72787e-37, 1.72787e-37, 6.68828e-12, 1.72787e-37, 1.72787e-37, 1.82734e-14, 5.60131e-11, 1.72787e-37, 7.67661e-10, 1.72787e-37, 1.72787e-37
0.35402, 0, 1.24473e-09, 1.50189e-36, 1.41421, -1.24473e-09, 1.50189e-36, 0, 1.50189e-36, 1.50189e-36, 1.50189e-36, 1.50189e-36, 1.50189e-36, 1.50189e-36, 1.50189e-36, 1.50189e-36, 1.50189e-36, 1.50189e-36, 9.99002e-12, 1.50189e-36, 1.50189e-36, 2.90225e-14, 8.9314e-11, 1.50189e-36, 1.1454e-09, 1.50189e-36, 1.50189e-36
0.361912, 0, 1.85467e-09, 1.19581e-35, 1.41421, -1.85467e-09, 1.19581e-35, 0, 1.19581e-35, 1.19581e-35, 1.19581e-35, 1.19581e-35, 1.19581e-35, 1.19581e-35, 1.19581e-35, 1.19581e-35, 1.19581e-35, 1.19581e-35, 1.48264e-11, 1.19581e-35, 1.19581e-35, 4.60342e-14, 1.42069e-10, 1.19581e-35, 1.69773e-09, 1.19581e-35, 1.19581e-35
0.369803, 0, 2.74735e-09, 8.7635e-35, 1.41421, -2.74735e-09, 8.7635e-35, 0, 8.7635e-35, 8.7635e-35, 8.7635e-35, 8.7635e-35, 8.7635e-35, 8.7635e-35, 8.7635e-35, 8.7635e-35, 8.7635e-35, 8.7635e-35, 2.1865e-11, 8.7635e-35, 8.7635e-35, 7.29476e-14, 2.25503e-10, 8.7635e-35, 2.49991e-09, 8.7635e-35, 8.7635e-35
