   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_119.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.251686, 0, 1.9791e-12, 0, 1.41421, -1.9791e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.79973e-15, 0, 0, 2.61422e-17, 0, 8.46005e-14, 0, 1.88867e-12, 0, 0, 0
0.259571, 0, 3.27702e-12, 0, 1.41421, -3.27702e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.59033e-15, 0, 0, 4.43477e-17, 0, 1.44475e-13, 0, 3.12291e-12, 0, 0, 0
0.267457, 0, 5.38684e-12, 0, 1.41421, -5.38684e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.57421e-14, 0, 0, 7.47687e-17, 0, 2.45259e-13, 0, 5.12576e-12, 0, 0, 0
0.275343, 0, 8.79133e-12, 0, 1.41421, -8.79133e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.56517e-14, 0, 0, 1.25307e-16, 0, 4.13943e-13, 0, 8.35161e-12, 0, 0, 0
0.283228, 0, 1.42451e-11, 0, 1.41421, -1.42451e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.14964e-14, 0, 0, 2.08805e-16, 0, 6.94735e-13, 0, 1.35087e-11, 0, 0, 0
0.291114, 0, 2.29188e-11, 0, 1.41421, -2.29188e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.6645e-14, 0, 0, 3.46049e-16, 0, 1.1597e-12, 0, 2.16921e-11, 0, 0, 0
0.299, 0, 3.66147e-11, 0, 1.41421, -3.66147e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06268e-13, 0, 0, 5.70549e-16, 0, 1.92582e-12, 0, 3.4582e-11, 0, 0, 0
0.306886, 0, 5.80876e-11, 4.90454e-44, 1.41421, -5.80876e-11, 4.90454e-44, 0, 4.90454e-44, 4.90454e-44, 4.90454e-44, 4.90454e-44, 4.90454e-44, 4.90454e-44, 4.90454e-44, 4.90454e-44, 4.90454e-44, 4.90454e-44, 1.68242e-13, 4.90454e-44, 4.90454e-44, 9.36166e-16, 4.90454e-44, 3.18221e-12, 4.90454e-44, 5.47362e-11, 4.90454e-44, 4.90454e-44, 4.90454e-44
0.314771, 0, 9.15176e-11, 8.53391e-43, 1.41421, -9.15176e-11, 8.53391e-43, 0, 8.53391e-43, 8.53391e-43, 8.53391e-43, 8.53391e-43, 8.53391e-43, 8.53391e-43, 8.53391e-43, 8.53391e-43, 8.53391e-43, 8.53391e-43, 2.64476e-13, 8.53391e-43, 8.53391e-43, 1.52924e-15, 8.53391e-43, 5.23359e-12, 8.53391e-43, 8.6018e-11, 8.53391e-43, 8.53391e-43, 8.53391e-43
0.322657, 0, 1.43202e-10, 1.26061e-41, 1.41421, -1.43202e-10, 1.26061e-41, 0, 1.26061e-41, 1.26061e-41, 1.26061e-41, 1.26061e-41, 1.26061e-41, 1.26061e-41, 1.26061e-41, 1.26061e-41, 1.26061e-41, 1.26061e-41, 4.12832e-13, 1.26061e-41, 1.26061e-41, 2.4879e-15, 1.26061e-41, 8.56936e-12, 1.26061e-41, 1.34217e-10, 1.26061e-41, 1.26061e-41, 1.26061e-41
