   PIQUANT 0.0.0-main  ps__0846_0742001877_000BHVO2_shot_8.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.0757557, 0, 5.72657e-14, 0, 1.41421, -5.72657e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13292e-16, 0, 0, 7.78133e-19, 0, 0, 5.71517e-14, 0, 0, 0
0.0836221, 0, 9.6146e-14, 0, 1.41421, -9.6146e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.90211e-16, 0, 0, 1.33085e-18, 0, 0, 9.59544e-14, 0, 0, 0
0.0914884, 0, 1.60406e-13, 0, 1.41421, -1.60406e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.1734e-16, 0, 0, 2.2624e-18, 0, 0, 1.60087e-13, 0, 0, 0
0.0993547, 0, 2.65946e-13, 0, 1.41421, -2.65946e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.26136e-16, 0, 0, 3.82308e-18, 0, 0, 2.65416e-13, 0, 0, 0
0.107221, 0, 4.38201e-13, 0, 1.41421, -4.38201e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.66919e-16, 0, 0, 6.42241e-18, 0, 0, 4.37327e-13, 0, 0, 0
0.115087, 0, 7.17604e-13, 0, 1.41421, -7.17604e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41968e-15, 0, 0, 1.07265e-17, 0, 0, 7.16173e-13, 0, 0, 0
0.122954, 0, 1.16802e-12, 0, 1.41421, -1.16802e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.31078e-15, 0, 0, 1.78122e-17, 0, 0, 1.16569e-12, 0, 0, 0
0.13082, 0, 1.88968e-12, 0, 1.41421, -1.88968e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.73853e-15, 0, 0, 2.94117e-17, 0, 0, 1.88591e-12, 0, 0, 0
0.138686, 0, 3.03893e-12, 0, 1.41421, -3.03893e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.01229e-15, 0, 0, 4.82938e-17, 0, 0, 3.03287e-12, 0, 0, 0
0.146553, 0, 4.86459e-12, 0, 1.41421, -4.86459e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.62444e-15, 0, 0, 7.90751e-17, 0, 0, 4.85488e-12, 0, 0, 0
